﻿﻿TradeDate;SecurityId;Symbol;ISIN;SecurityName;SecurityTypeId;SecurityType;IsStock;Market;CompanyId;Gics;Bid;Offer;Open;High;Low;Last;Generic;AdjBid;AdjOffer;AdjOpen;AdjHigh;AdjLow;AdjLast;AdjGeneric;Vwap;ReturnLast;ReturnGeneric;ReturnAdjLast;ReturnAdjGeneric;LogReturnLast;LogReturnGeneric;LogReturnAdjLast;LogReturnAdjGeneric;OffShareTurnover;OffTurnover;NonOffShareTurnover;NonOffTurnover;SharesIssued;DivFactor;CumDivFactor;LastQAccount;LastYAccount;
2019-09-30 00:00:00;15440;JIN;BMG5137R1088;Jinhui Shipping and Transportation;1;Ordinary Shares;1;OSE;2446;20303010;7.2700;7.4700;7.2700;7.4900;7.2500;7.4700;7.4700;7.2700;7.4700;7.2700;7.4900;7.2500;7.4700;7.4700;7.3509;;-0.074349442379182;;-0.074349442379182;;-0.077258483137131;;-0.077258483137131;1143492;8728727.02;;;109258943;;1;;;
2019-09-30 00:00:00;15578;EQNR;NO0010096985;Equinor;1;Ordinary Shares;1;OSE;1309;10102010;173.0500;173.1000;174.1500;174.7500;173.0500;173.0500;173.0500;173.0500;173.1000;174.1500;174.7500;173.0500;173.0500;173.0500;173.4321;;0.1107188703466;;0.11066412109641;;0.10500743664471;;0.10495814370386;85932261;14862040213.8;3265945;575224820.2114;2147483647;;0.94130970397705;;;
2019-09-30 00:00:00;15669;SVEG;NO0006000900;Sparebanken Vest;26;Primary Capital Certificates;1;OSE;1642;;55.4000;55.8000;54.4000;56.0000;54.2000;55.4000;55.4000;55.4000;55.8000;54.4000;56.0000;54.2000;55.4000;55.4000;55.2159;;0.065384615384615;;0.065464126469396;;0.06333587517181;;0.063410503730146;715300;38398082.4;1232732;66413831.6;60274630;;0.94883720930233;;;
2019-09-30 00:00:00;15900;NKR;NO0003049405;Nekkar;1;Ordinary Shares;1;OSE;2525;20106010;2.9300;2.9800;2.9700;3.0000;2.9100;2.9800;2.9800;2.9300;2.9800;2.9700;3.0000;2.9100;2.9800;2.9800;2.9893;;-0.52547770700637;;0.1203007518797;;-0.74544667996279;;0.11359717772371;7332941;38639774.4;6110000;24265400;105620078;;1;;;
2019-09-30 00:00:00;16189;SADG;NO0006001007;Sandnes Sparebank;26;Primary Capital Certificates;1;OSE;5024;;61.5000;62.0000;61.5000;62.0000;61.5000;61.5000;61.5000;61.5000;62.0000;61.5000;62.0000;61.5000;61.5000;61.5000;61.6767;;-0.016;;-0.015973319290855;;-0.016129381929884;;-0.016102267755662;92659;5705629;118938;7309687;23014902;;0.91150442477876;;;
2019-09-30 00:00:00;16224;TOTG;NO0006001205;Totens Sparebank;26;Primary Capital Certificates;1;OSE;1662;;125.0000;126.0000;125.0000;126.0000;125.0000;126.0000;126.0000;125.0000;126.0000;125.0000;126.0000;125.0000;126.0000;126.0000;125.4000;;0.016129032258065;;0.016181229773463;;0.016000341346441;;0.016051709010508;57255;7205198;368;46031;6124534;;0.9469696969697;;;
2019-09-30 00:00:00;16226;SCANA;NO0003053308;Scana;1;Ordinary Shares;1;OSE;5059;15104050;.9400;1.0600;1.0600;1.0600;.9250;.9950;.9950;.9400;1.0600;1.0600;1.0600;.9250;.9950;.9950;1.0112;;0.0050505050505051;;0.01010101010101;;0.0050377940299572;;0.010050335853501;677200;682075.455;;;107511831;;1;;;
2019-09-30 00:00:00;16258;MOWI;NO0003054108;Mowi;1;Ordinary Shares;1;OSE;5063;30202030;209.9000;210.3000;210.0000;211.7000;208.3000;209.9000;209.9000;209.9000;210.3000;210.0000;211.7000;208.3000;209.9000;209.9000;209.9742;;-0.037155963302752;;-0.037181352988123;;-0.037863835962502;;-0.037890205778552;27845334;5845900616.8;596874;125335885.2475;517111091;;0.97710814414933;;;
2019-09-30 00:00:00;16466;SNI;BMG850801025;Stolt-Nielsen;1;Ordinary Shares;1;OSE;5097;20303010;104.0000;104.6000;104.0000;105.6000;102.8000;104.6000;104.6000;104.0000;104.6000;104.0000;105.6000;102.8000;104.6000;104.6000;104.1099;;0.059777102330294;;0.059752092382668;;0.058058605191387;;0.058035005660236;485051;49515869.8;31513;3286499.8;64133796;;0.9562987978837;;;
2019-09-30 00:00:00;16511;NOD;NO0003055501;Nordic Semiconductor;1;Ordinary Shares;1;OSE;5117;45301020;50.9500;51.0000;48.5800;51.4500;48.5200;51.0000;51.0000;50.9500;51.0000;48.5800;51.4500;48.5200;51.0000;51.0000;50.6872;;0.23546511627907;;0.23546511627907;;0.21144751155102;;0.21144751155102;6812885;323503576.27;2738700;130767853.0592;179781600;;1;;;
2019-09-30 00:00:00;16545;RING;NO0006390400;SpareBank 1 Ringerike Hadeland;26;Primary Capital Certificates;1;OSE;5125;;210.0000;212.0000;;;;;210.0000;210.0000;212.0000;;;;;210.0000;;;0;;0;;0;;0;9115;1915610;;;15650405;;0.9335;;;
2019-09-30 00:00:00;17135;SOGN;NO0006000603;Sogn Sparebank;26;Primary Capital Certificates;1;OSE;5202;;98.0000;100.0000;98.0000;101.0000;97.5000;101.0000;101.0000;98.0000;100.0000;98.0000;101.0000;97.5000;101.0000;101.0000;98.2302;;0.01;;0.01;;0.0099503308531679;;0.0099503308531679;5582;553140;25597;2534103;632500;;1;;;
2019-09-30 00:00:00;17151;HEX;NO0003067902;Hexagon Composites;1;Ordinary Shares;1;OSE;5203;20106020;29.6000;29.6500;29.3500;30.1000;28.6000;29.6000;29.6000;29.6000;29.6500;29.3500;30.1000;28.6000;29.6000;29.6000;29.2693;;0.12333965844402;;0.12333965844402;;0.11630608634264;;0.11630608634264;7621831;216166724.95;1434407;39923872.475;183290648;;1;;;
2019-09-30 00:00:00;23281;COV;SE0014731154;ContextVision;1;Ordinary Shares;1;OSE;6006;35103010;92.0000;95.0000;94.0000;95.5000;92.5000;94.5000;94.5000;9.2000;9.5000;9.4000;9.5500;9.2500;9.4500;9.4500;9.3790;;0.13855421686747;;0.13855421686747;;0.1297592267031;;0.1297592267031;76070;6845289;;;7736750;;1;;;
2019-09-30 00:00:00;24019;PRS;NO0010861990;Prosafe;1;Ordinary Shares;1;OSE;6010;10101020;9.4000;9.5500;9.7030;9.8000;9.5500;9.5500;9.5500;9.4000;9.5500;9.7030;9.8000;9.5500;9.5500;9.5500;9.7138;;-0.0041710114702815;;-0.0041710114702815;;-0.0041797344027077;;-0.0041797344027077;820251;7947641.386;15369;148080.746;81864212;;1;;;
2019-09-30 00:00:00;24518;PSE;CY0102630916;Petrolia;1;Ordinary Shares;1;OSE;6018;10101010;3.1000;3.4800;3.1600;3.4800;3.1000;3.4800;3.4800;3.1000;3.4800;3.1600;3.4800;3.1000;3.4800;3.4800;3.1447;;-0.049180327868852;;-0.049180327868852;;-0.050430853626892;;-0.050430853626892;58466;190738.84;115000;1174265;59133786;;1;;;
2019-09-30 00:00:00;25289;SUBC;LU0075646355;Subsea 7;1;Ordinary Shares;1;OSE;6030;10101020;93.9600;93.9800;93.6800;94.4400;93.3400;93.9800;93.9800;93.9600;93.9800;93.6800;94.4400;93.3400;93.9800;93.9800;93.8054;;0.06577455205262;;0.06577455205262;;0.063701813744878;;0.063701813744878;22139274;2126653301.47;2188822;208974609.2315;300000000;;1;;;
2019-09-30 00:00:00;26940;BMA;NO0003087603;Byggma;1;Ordinary Shares;1;OSE;6049;15105010;85.0000;90.0000;;;;;85.0000;85.0000;90.0000;;;;;85.0000;;;-0.055555555555556;;-0.055524397083567;;-0.057158413839948;;-0.057125423060868;13384;1182451;;;7028163;;0.99056603773585;;;
2019-09-30 00:00:00;27028;AFG;NO0003078107;AF Gruppen;1;Ordinary Shares;1;OSE;6051;20103010;181.0000;182.5000;182.5000;183.0000;181.0000;181.0000;181.0000;181.0020;182.5020;182.5020;183.0020;181.0020;181.0020;181.0020;181.5642;;-0.010928961748634;;-0.010976689288876;;-0.010989121575595;;-0.011037377656279;199611;36217729;137987;25049831.75;100290698;;0.9259229133931;;;
