date,EW,VW,OSEAX,OBX
20130531,0.049077,0.026685,0.021813,0.021565
20130630,0.002308,-0.040908,-0.043908,-0.050218
20130731,0.080373,0.056914,0.050808,0.060228
20130831,-0.017862,0.006288,0.006681,-0.000241
20130930,0.059796,0.017365,0.017520,0.005888
20131031,0.033373,0.054340,0.055954,0.064190
20131130,0.034790,0.018070,0.016698,0.018770
20131231,0.013180,0.012049,0.017432,0.010697
20140131,0.009489,-0.022013,-0.019767,-0.026550
20140228,0.029434,0.029684,0.035350,0.035964
20140331,0.015122,0.010946,0.017036,0.010830
20140430,-0.017244,0.022750,0.033757,0.031694
20140531,0.021650,0.046488,0.049658,0.046865
20140630,0.008943,0.022811,0.022601,0.022582
20140731,-0.001639,-0.009313,-0.012086,-0.014375
20140831,-0.010675,-0.007296,-0.006772,-0.003436
20140930,-0.043018,-0.009310,-0.001628,0.001778
20141031,-0.056033,-0.042947,-0.050214,-0.042895
20141130,-0.031052,-0.040315,-0.046412,-0.033656
20141231,0.003100,0.021514,0.011723,0.014943
20150131,0.010125,0.022750,0.025781,0.035690
20150228,0.023737,0.036156,0.043366,0.028191
20150331,-0.031627,0.006746,0.002539,0.006151
20150430,0.065792,0.030696,0.046099,0.030209
20150531,-0.001314,0.007485,-0.001327,0.006609
20150630,-0.040817,-0.026424,-0.026631,-0.023116
20150731,-0.008091,0.021182,0.010128,0.010679
20150831,-0.067358,-0.065977,-0.071097,-0.073493
20150930,-0.008670,-0.021836,-0.018531,-0.027355
20151031,0.089468,0.053514,0.052687,0.060672
20151130,0.000575,0.013901,0.021555,0.023201
20151231,-0.013305,-0.020346,-0.030910,-0.040705
20160131,-0.057153,-0.102550,-0.070279,-0.071617
20160229,-0.013918,0.000832,0.022298,0.023582
20160331,0.062701,0.014638,0.017998,0.009352
20160430,0.070105,0.050967,0.053958,0.054800
20160531,-0.012158,0.015993,0.013853,0.014432
20160630,-0.037521,-0.017595,-0.007815,-0.021585
20160731,0.034199,0.015401,0.008455,0.007982
20160831,0.000304,0.008672,0.009286,0.008212
20160930,0.018066,0.007147,0.008572,0.003963
20161031,0.028398,0.031711,0.028633,0.031528
20161130,0.034668,0.032751,0.035729,0.033198
20161231,0.106331,0.048168,0.050254,0.049649
20170131,0.062795,0.009089,0.006796,0.009373
20170228,0.008466,0.000801,-0.004286,-0.006960
20170331,-0.018475,-0.004709,-0.011911,-0.001502
20170430,0.019533,0.014420,0.010171,0.008718
20170531,-0.033209,0.007448,0.021464,0.021342
20170630,-0.014654,-0.016303,-0.019453,-0.018133
20170731,0.021935,0.050313,0.052407,0.055850
20170831,-0.010280,0.009195,0.009777,0.014477
20170930,0.027534,0.056042,0.057841,0.065337
20171031,-0.001445,0.031346,0.033201,0.036781
20171130,-0.017768,-0.010732,-0.005651,-0.014069
20171231,0.043431,0.020826,0.024755,0.018204
20180131,0.011868,0.000890,0.002272,-0.005802
20180228,0.003398,0.008938,0.010649,0.017373
20180331,-0.027164,-0.018797,-0.012352,-0.020218
20180430,0.054110,0.068472,0.073688,0.078600
20180531,0.042936,0.025658,0.024987,0.010932
20180630,-0.011147,0.006066,0.006362,0.013717
20180731,0.007525,0.011956,0.012718,0.017402
20180831,0.000871,0.011248,0.011003,0.014967
20180930,0.017970,0.037830,0.039098,0.036942
20181031,-0.066311,-0.057721,-0.054947,-0.052418
20181130,-0.048034,-0.040145,-0.038982,-0.042018
20181231,-0.086674,-0.073157,-0.070762,-0.065102
20190131,0.067258,0.046017,0.048852,0.047957
20190228,0.036445,0.037000,0.033294,0.030934
20190331,0.001075,0.001829,0.000108,-0.006910
20190430,0.030388,0.026050,0.021010,0.023710
20190531,-0.054652,-0.039880,-0.044052,-0.034268
20190630,0.007148,0.014573,0.012941,0.017684
20190731,0.019384,-0.006045,-0.010052,-0.007868
20190831,-0.026690,-0.001428,-0.001647,-0.003725
20190930,0.054515,0.027295,0.033770,0.031764
20191031,-0.005209,0.005912,0.005853,0.012715
20191130,0.013124,0.006004,0.004419,-0.000946
20191231,0.063658,0.035107,0.034255,0.024005
20200131,-0.016931,-0.024498,-0.019936,-0.024924
20200229,-0.120345,-0.095546,-0.097728,-0.090694
20200331,-0.211091,-0.149675,-0.147336,-0.131809
20200430,0.173643,0.087367,0.090219,0.093470
20200531,0.066320,0.023486,0.027931,0.010115
20200630,0.037233,-0.000356,-0.003610,-0.002733
20200731,0.044274,0.041805,0.037590,0.019298
20200831,0.033846,0.036332,0.039097,0.035684
20200930,0.015488,-0.005627,-0.007635,-0.011723
20201031,-0.038967,-0.052440,-0.059607,-0.050426
20201130,0.199987,0.157942,0.143478,0.157066
20201231,0.115563,0.048738,0.047716,0.047774
