﻿﻿TradeDate;Last;
2015-02-27 00:00:00;125.0000;
2015-02-27 00:00:00;156.5000;
2015-02-27 00:00:00;155.0000;
2015-02-27 00:00:00;60.0000;
2015-02-27 00:00:00;40.0000;
2015-02-27 00:00:00;58.5000;
2015-02-27 00:00:00;11.7500;
2015-02-27 00:00:00;4.5500;
2015-02-27 00:00:00;144.5000;
2015-02-27 00:00:00;55.5000;
2015-02-27 00:00:00;93.5000;
2015-02-27 00:00:00;5.0000;
2015-02-27 00:00:00;102.5000;
2015-02-27 00:00:00;85.0000;
2015-02-27 00:00:00;.8100;
2015-02-27 00:00:00;96.7500;
2015-02-27 00:00:00;125.0000;
2015-02-27 00:00:00;53.2500;
2015-02-27 00:00:00;169.0000;
2015-02-27 00:00:00;75.0000;
2015-02-27 00:00:00;22.9000;
2015-02-27 00:00:00;3.1500;
2015-02-27 00:00:00;23.6000;
2015-02-27 00:00:00;8.5000;
2015-02-27 00:00:00;76.0000;
2015-02-27 00:00:00;587.0000;
2015-02-27 00:00:00;45.0000;
2015-02-27 00:00:00;90.5000;
2015-02-27 00:00:00;63.7000;
2015-02-27 00:00:00;57.0000;
2015-02-27 00:00:00;186.9000;
2015-02-27 00:00:00;1.2000;
2015-02-27 00:00:00;14.1000;
2015-02-27 00:00:00;1.9300;
2015-02-27 00:00:00;196.5000;
2015-02-27 00:00:00;11.5500;
2015-02-27 00:00:00;78.0000;
2015-02-27 00:00:00;129.5000;
2015-02-27 00:00:00;19.5000;
2015-02-27 00:00:00;2.6100;
2015-02-27 00:00:00;16.0000;
2015-02-27 00:00:00;2.4000;
2015-02-27 00:00:00;34.1000;
2015-02-27 00:00:00;9.8000;
2015-02-27 00:00:00;153.8000;
2015-02-27 00:00:00;8.8000;
2015-02-27 00:00:00;16.7000;
2015-02-27 00:00:00;.9600;
2015-02-27 00:00:00;12.5000;
2015-02-27 00:00:00;2.0000;
2015-02-27 00:00:00;263.0000;
2015-02-27 00:00:00;1.4900;
2015-02-27 00:00:00;233.2000;
2015-02-27 00:00:00;59.1500;
2015-02-27 00:00:00;422.0000;
2015-02-27 00:00:00;17.9600;
2015-02-27 00:00:00;35.6000;
2015-02-27 00:00:00;1.2800;
2015-02-27 00:00:00;176.0000;
2015-02-27 00:00:00;18.8000;
2015-02-27 00:00:00;5.4000;
2015-02-27 00:00:00;1.2200;
2015-02-27 00:00:00;53.9500;
2015-02-27 00:00:00;27.5000;
2015-02-27 00:00:00;54.0000;
2015-02-27 00:00:00;35.0000;
2015-02-27 00:00:00;23.0000;
2015-02-27 00:00:00;13.8000;
2015-02-27 00:00:00;2.3000;
2015-02-27 00:00:00;5.6900;
2015-02-27 00:00:00;3.4400;
2015-02-27 00:00:00;33.6000;
2015-02-27 00:00:00;2.0500;
2015-02-27 00:00:00;88.5000;
2015-02-27 00:00:00;15.7000;
2015-02-27 00:00:00;135.0000;
2015-02-27 00:00:00;2.4500;
2015-02-27 00:00:00;1.5800;
2015-02-27 00:00:00;.2200;
2015-02-27 00:00:00;2.7000;
2015-02-27 00:00:00;11.1000;
2015-02-27 00:00:00;2.2160;
2015-02-27 00:00:00;6.1500;
2015-02-27 00:00:00;.7800;
2015-02-27 00:00:00;42.1000;
2015-02-27 00:00:00;.2900;
2015-02-27 00:00:00;46.4000;
2015-02-27 00:00:00;10.7000;
2015-02-27 00:00:00;27.1000;
2015-02-27 00:00:00;4.3400;
2015-02-27 00:00:00;1.6500;
2015-02-27 00:00:00;4.3300;
2015-02-27 00:00:00;.9100;
2015-02-27 00:00:00;5.5200;
2015-02-27 00:00:00;4.1300;
2015-02-27 00:00:00;55.7500;
2015-02-27 00:00:00;.2900;
2015-02-27 00:00:00;82.0000;
2015-02-27 00:00:00;125.5000;
2015-02-27 00:00:00;26.8000;
2015-02-27 00:00:00;2.0000;
2015-02-27 00:00:00;39.0600;
2015-02-27 00:00:00;.6700;
2015-02-27 00:00:00;.9300;
2015-02-27 00:00:00;3.1000;
2015-02-27 00:00:00;109.0000;
2015-02-27 00:00:00;13.2000;
2015-02-27 00:00:00;14.5000;
2015-02-27 00:00:00;6.9500;
2015-02-27 00:00:00;135.0000;
2015-02-27 00:00:00;83.4000;
2015-02-27 00:00:00;110.1000;
2015-02-27 00:00:00;2.0000;
2015-02-27 00:00:00;12.7500;
2015-02-27 00:00:00;33.0000;
2015-02-27 00:00:00;.5800;
2015-02-27 00:00:00;8.7500;
2015-02-27 00:00:00;1.5000;
2015-02-27 00:00:00;5.2100;
2015-02-27 00:00:00;1.2700;
2015-02-27 00:00:00;178.0000;
2015-02-27 00:00:00;4.6100;
2015-02-27 00:00:00;.7000;
2015-02-27 00:00:00;142.6000;
2015-02-27 00:00:00;43.8000;
2015-02-27 00:00:00;1.7000;
2015-02-27 00:00:00;11.5000;
2015-02-27 00:00:00;3.5100;
2015-02-27 00:00:00;26.1900;
2015-02-27 00:00:00;2.3700;
2015-02-27 00:00:00;133.6000;
2015-02-27 00:00:00;1.2800;
2015-02-27 00:00:00;64.7500;
2015-02-27 00:00:00;26.7000;
2015-02-27 00:00:00;.6600;
2015-02-27 00:00:00;2.9000;
2015-02-27 00:00:00;76.0000;
2015-02-27 00:00:00;94.7500;
2015-02-27 00:00:00;7.8100;
2015-02-27 00:00:00;8.9000;
2015-02-27 00:00:00;2.4100;
2015-02-27 00:00:00;55.7500;
2015-02-27 00:00:00;27.7000;
2015-02-27 00:00:00;48.5000;
2015-02-27 00:00:00;12.0000;
2015-02-27 00:00:00;45.0000;
2015-02-27 00:00:00;1.2000;
2015-02-27 00:00:00;47.0000;
2015-02-27 00:00:00;8.8800;
2015-02-27 00:00:00;4.0000;
2015-02-27 00:00:00;102.5000;
2015-02-27 00:00:00;60.5000;
2015-02-27 00:00:00;25.0000;
2015-02-27 00:00:00;85.2500;
2015-02-27 00:00:00;1.6000;
2015-02-27 00:00:00;126.0000;
2015-02-27 00:00:00;.3600;
2015-02-27 00:00:00;33.0000;
2015-02-27 00:00:00;50.0000;
2015-02-27 00:00:00;109.0000;
2015-02-27 00:00:00;19.8000;
2015-02-27 00:00:00;7.5000;
2015-02-27 00:00:00;6.9500;
2015-02-27 00:00:00;53.7500;
2015-02-27 00:00:00;43.0000;
2015-02-27 00:00:00;34.5000;
2015-02-27 00:00:00;76.0000;
2015-02-27 00:00:00;85.2500;
2015-02-27 00:00:00;44.0000;
2015-02-27 00:00:00;4.5000;
2015-02-27 00:00:00;26.1700;
2015-02-27 00:00:00;4.0200;
2015-02-27 00:00:00;49.3200;
2015-02-27 00:00:00;2.2500;
2015-02-27 00:00:00;7.9000;
2015-02-27 00:00:00;17.4700;
2015-02-27 00:00:00;70.5000;
2015-02-27 00:00:00;5.4900;
2015-02-27 00:00:00;28.9400;
2015-02-27 00:00:00;14.4200;
2015-02-27 00:00:00;.6100;
2015-02-27 00:00:00;.8900;
2015-02-27 00:00:00;.0200;
2015-02-27 00:00:00;.9200;
2015-02-27 00:00:00;.2000;
2015-02-27 00:00:00;.6000;
2015-02-27 00:00:00;.2500;
2015-02-27 00:00:00;.1300;
2015-02-27 00:00:00;.0400;
2015-02-27 00:00:00;.0700;
2015-02-27 00:00:00;.9100;
2015-02-27 00:00:00;.3500;
2015-02-27 00:00:00;3.3700;
2015-02-27 00:00:00;2.2700;
2015-02-27 00:00:00;2.3800;
2015-02-27 00:00:00;.1800;
2015-02-27 00:00:00;.1300;
2015-02-27 00:00:00;.0300;
2015-02-27 00:00:00;.6100;
2015-02-27 00:00:00;.3800;
2015-02-27 00:00:00;.9900;
2015-02-27 00:00:00;.3000;
2015-02-27 00:00:00;.0500;
2015-02-27 00:00:00;.2700;
2015-02-27 00:00:00;.0300;
2015-02-27 00:00:00;.3300;
2015-02-27 00:00:00;2.6400;
2015-02-27 00:00:00;.5700;
2015-02-27 00:00:00;.3900;
2015-02-27 00:00:00;.0500;
2015-02-27 00:00:00;.0400;
2015-02-27 00:00:00;.1100;
2015-02-27 00:00:00;.8800;
2015-02-27 00:00:00;1.4500;
2015-02-27 00:00:00;.1400;
2015-02-27 00:00:00;.3100;
2015-02-27 00:00:00;.0700;
2015-02-27 00:00:00;.7400;
2015-02-27 00:00:00;1.4100;
2015-02-27 00:00:00;.8000;
2015-03-09 00:00:00;10.7000;
2015-03-12 00:00:00;4.5000;
2015-03-18 00:00:00;36.8000;
2015-03-20 00:00:00;.0100;
2015-03-20 00:00:00;.8200;
2015-03-20 00:00:00;.0100;
2015-03-20 00:00:00;.0100;
2015-03-23 00:00:00;34.5000;
2015-03-31 00:00:00;10.4000;
2015-03-31 00:00:00;59.5000;
2015-03-31 00:00:00;129.7000;
2015-03-31 00:00:00;10.5500;
2015-03-31 00:00:00;53.0000;
2015-03-31 00:00:00;34.0000;
2015-03-31 00:00:00;6.3700;
2015-03-31 00:00:00;10.0000;
2015-03-31 00:00:00;59.0000;
